"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","0","12","2","0","0"
"","Product catalogue","Sally sorts by different criteria","0","4","0","0","0"
"","Product catalog","","1","3","0","0","0"
"","Load products","","1","0","0","0","0"
"","Search items","","0","3","0","0","0"
"","Add to cart","Checkout items","0","1","0","0","0"
"","Product catalogue","Sally searches for an Adjustable Wrench","0","1","0","0","0"
"","Product catalogue","Sally searches for more general term using a data table","0","1","0","0","0"
"","Add to cart","Add to cart","0","1","0","0","0"
"","Product catalogue","Sally searches for a product that does not exist","0","1","0","0","0"
"","Product catalogue","Sally searches for more general term","0","1","0","0","0"
"","Product catalogue","Sally only wants to see Hand Saws","0","1","0","0","0"
